layers,theoretical_mean,theoretical_std,simulated_mean,simulated_std,mean_error_pct,std_error_pct,chi2_pvalue,is_gaussian
1,0.5,0.5,0.4927,0.49994670715987316,1.4599999999999946,0.01065856802536791,0.1442900739317833,True
2,1.0,0.7071067811865476,0.9872,0.705858456066087,1.2800000000000034,0.17653983156063804,1.4500212361813718e-13,True
3,1.5,0.8660254037844386,1.4976,0.8645196585387749,0.1599999999999972,0.17386848458298895,0.000472419000146021,True
4,2.0,1.0,1.995,1.0033817817760098,0.24999999999999467,0.33817817760097846,0.0008409144150144906,True
5,2.5,1.118033988749895,2.5004,1.1281843111832393,0.015999999999998238,0.9078724381799618,0.00921458145166409,True
6,3.0,1.224744871391589,3.0043,1.220197324206212,0.14333333333333975,0.3713056728467715,0.0008696828737285012,True
7,3.5,1.3228756555322954,3.5146,1.3199192551061598,0.4171428571428619,0.22348286581371493,0.0010119085834019096,True
8,4.0,1.4142135623730951,3.9957,1.4008145880165583,0.10750000000000481,0.9474505628451834,0.0007089201976548132,True
9,4.5,1.5,4.5029,1.5197340523920624,0.06444444444445216,1.3156034928041591,0.0003979362326752775,True
10,5.0,1.5811388300841898,4.9992,1.5960574425752978,0.015999999999998238,0.9435359000267978,0.008301585888815808,True
